"Fund Category","Fund Name","Scheme Name","Dividend Date","Dividend Individual/ HUF (Rs) per Unit","Dividend Others (Rs) per Unit"
"Diversified Equity","HDFC Equity Fund","HDFC Equity Fund - Dividend","19 Mar, 2020","4.2500","4.2500"
"Diversified Equity","HDFC Equity Fund","HDFC Equity Fund - Direct Plan - Dividend","19 Mar, 2020","4.2500","4.2500"
"Diversified Equity","HDFC Mid-Cap Opportunities Fund","HDFC Mid-Cap Opportunities Fund - Dividend","27 Feb, 2020","2.5000","2.5000"
"Diversified Equity","HDFC Mid-Cap Opportunities Fund","HDFC Mid-Cap Opportunities Fund - Direct Plan - Dividend","27 Feb, 2020","2.5000","2.5000"
"Diversified Equity","HDFC Small Cap Fund","HDFC Small Cap Fund - Direct Plan - Dividend","27 Mar, 2019","0.9900","0.9900"
"Diversified Equity","HDFC Small Cap Fund","HDFC Small Cap Fund - Regular Plan - Dividend","27 Mar, 2019","2.5000","2.5000"
"Diversified Equity","HDFC Top 100 Fund","HDFC Top 100 Fund - Dividend Plan","05 Mar, 2020","5.0000","5.0000"
"Diversified Equity","HDFC Top 100 Fund","HDFC Top 100 Fund - Dividend Option - Direct Plan","05 Mar, 2020","5.0000","5.0000"
"Diversified Equity","HDFC Capital Builder Value Fund","HDFC Capital Builder Value Fund - Dividend Plan","20 Feb, 2020","2.7500","2.7500"
"Diversified Equity","HDFC Capital Builder Value Fund","HDFC Capital Builder Value Fund - Dividend Option - Direct Plan","20 Feb, 2020","2.7500","2.7500"
"Diversified Equity","HDFC Focused 30 Fund","HDFC Focused 30 Fund - DIVIDEND PLAN","20 Feb, 2020","1.7500","1.7500"
"Diversified Equity","HDFC Focused 30 Fund","HDFC Focused 30 Fund - Dividend Option - Direct Plan","20 Feb, 2020","1.7500","1.7500"
"Diversified Equity","HDFC Growth Opportunities Fund","HDFC Growth Opportunities Fund - Dividend Option","27 Feb, 2020","2.0000","2.0000"
"Diversified Equity","HDFC Growth Opportunities Fund","HDFC Growth Opportunities Fund - Dividend Option - Direct Plan","27 Feb, 2020","2.0000","2.0000"
"Thematic Equity","HDFC Infrastructure Fund","HDFC Infrastructure Fund - Dividend","27 Mar, 2019","1.0000","1.0000"
"Thematic Equity","HDFC Infrastructure Fund","HDFC Infrastructure Fund - Direct Plan - Dividend","27 Mar, 2019","1.0000","1.0000"
"Equity Linked Savings Scheme (ELSS)","HDFC Long Term Advantage Fund","HDFC Long Term Advantage Fund - Dividend","12 Mar, 2020","3.5000","3.5000"
"Equity Linked Savings Scheme (ELSS)","HDFC Long Term Advantage Fund","HDFC Long Term Advantage Fund - Direct Plan - Dividend","12 Mar, 2020","3.5000","3.5000"
