"Fund Category","Fund Name","AmfiCode","Plan Name","NAV Date","NAV Amount"
"Diversified Equity","HDFC Equity Fund","101763","HDFC Equity Fund - Dividend","03 Apr, 2020","28.4380"
"Diversified Equity","HDFC Equity Fund","118954","HDFC Equity Fund - Direct Plan - Dividend","03 Apr, 2020","31.0730"
"Diversified Equity","HDFC Equity Fund","101762","HDFC Equity Fund - Growth","03 Apr, 2020","436.1270"
"Diversified Equity","HDFC Equity Fund","118955","HDFC Equity Fund - Direct Plan - Growth Option","03 Apr, 2020","460.9650"
"Diversified Equity","HDFC Mid-Cap Opportunities Fund","105757","HDFC Mid-Cap Opportunities Fund - Dividend","03 Apr, 2020","17.0010"
"Diversified Equity","HDFC Mid-Cap Opportunities Fund","118988","HDFC Mid-Cap Opportunities Fund - Direct Plan - Dividend","03 Apr, 2020","21.5830"
"Diversified Equity","HDFC Mid-Cap Opportunities Fund","105758","HDFC Mid-Cap Opportunities Fund - Growth","03 Apr, 2020","37.4810"
"Diversified Equity","HDFC Mid-Cap Opportunities Fund","118989","HDFC Mid-Cap Opportunities Fund - Direct Plan - Growth Option","03 Apr, 2020","39.8230"
"Diversified Equity","HDFC Small Cap Fund","130501","HDFC Small Cap Fund - Regular Plan - Dividend","03 Apr, 2020","13.3820"
"Diversified Equity","HDFC Small Cap Fund","130504","HDFC Small Cap Fund - Direct Plan - Dividend","03 Apr, 2020","16.9550"
"Diversified Equity","HDFC Small Cap Fund","130502","HDFC Small Cap Fund - Regular Plan - Growth","03 Apr, 2020","25.4170"
"Diversified Equity","HDFC Small Cap Fund","130503","HDFC Small Cap Fund - Direct Plan - Growth","03 Apr, 2020","27.4910"
"Diversified Equity","HDFC Top 100 Fund","102001","HDFC Top 100 Fund - Dividend Plan","03 Apr, 2020","27.7130"
"Diversified Equity","HDFC Top 100 Fund","119017","HDFC Top 100 Fund - Dividend Option - Direct Plan","03 Apr, 2020","29.8870"
"Diversified Equity","HDFC Top 100 Fund","102000","HDFC Top 100 Fund - Growth Plan","03 Apr, 2020","328.2500"
"Diversified Equity","HDFC Top 100 Fund","119018","HDFC Top 100 Fund - Growth Option - Direct Plan","03 Apr, 2020","344.1250"
"Diversified Equity","HDFC Capital Builder Value Fund","101765","HDFC Capital Builder Value Fund - Dividend Plan","03 Apr, 2020","14.0470"
"Diversified Equity","HDFC Capital Builder Value Fund","118934","HDFC Capital Builder Value Fund - Dividend Option - Direct Plan","03 Apr, 2020","15.5340"
"Diversified Equity","HDFC Capital Builder Value Fund","101764","HDFC Capital Builder Value Fund - Growth Plan","03 Apr, 2020","187.3000"
